"combined","estimate","ci_lo","ci_hi","behavior","class"
"Agree",0.705504160608345,0.684186085337833,0.726342936691816,"talk_climate","unadjusted"
"Disagree",0.837197260750094,0.825062922364953,0.849134262789372,"talk_climate","unadjusted"
"Agree",0.20125438863919,0.183573848627471,0.219820036403983,"donate_money","unadjusted"
"Disagree",0.395486803193988,0.378818945459867,0.412619729975,"donate_money","unadjusted"
"Agree",0.304043046926773,0.28345182235773,0.325553195832149,"signed_petitions","unadjusted"
"Disagree",0.602421123496559,0.585927487094377,0.61872755552987,"signed_petitions","unadjusted"
"Agree",0.223880906669125,0.20533162709624,0.243124557327715,"advocated_change","unadjusted"
"Disagree",0.389420418547498,0.373332666888232,0.405522741858492,"advocated_change","unadjusted"
"Agree",0.171161924158205,0.153918344652295,0.188893144803375,"engaged_policymakers","unadjusted"
"Disagree",0.251249525624884,0.236080634713318,0.266259040562791,"engaged_policymakers","unadjusted"
"Agree",0.0760451622912555,0.0640055537713026,0.089336028862539,"engaged_disobedience","unadjusted"
"Disagree",0.142181906274471,0.129617063545684,0.154934691707806,"engaged_disobedience","unadjusted"
"Agree",0.110458052028198,0.0975349498945395,0.124912575986248,"engaged_protest","unadjusted"
"Disagree",0.363566067223365,0.346661903876103,0.379529776395945,"engaged_protest","unadjusted"
"Agree",0.230997529511014,0.212072083762622,0.250867751199317,"engaged_advocacy","unadjusted"
"Disagree",0.379224477284545,0.362829457142927,0.396323867430039,"engaged_advocacy","unadjusted"
"Agree",0.122138824311861,0.106784410914073,0.138404093886282,"wrote_letters","unadjusted"
"Disagree",0.221076593479867,0.20659933083281,0.23601430637272,"wrote_letters","unadjusted"
"Agree",0.389895108143777,0.368220511710955,0.412722152210242,"reduced_flying","unadjusted"
"Disagree",0.613074858034356,0.596534950495292,0.629309977248222,"reduced_flying","unadjusted"
"Agree",0.554275065759966,0.530531850695845,0.577255690997196,"reduced_car","unadjusted"
"Disagree",0.779693594749051,0.765981771192436,0.793185500098335,"reduced_car","unadjusted"
"Agree",0.172917266303077,0.155569540898986,0.19120797401229,"electric_vehicle","unadjusted"
"Disagree",0.225090945668327,0.211042210682389,0.239593623256008,"electric_vehicle","unadjusted"
"Agree",0.438472406011799,0.415821880253492,0.461408685775354,"energy_home","unadjusted"
"Disagree",0.493026301775403,0.476384000219906,0.509952950022697,"energy_home","unadjusted"
"Agree",0.249020676793126,0.229492772359705,0.268948638089142,"veggie_diet","unadjusted"
"Disagree",0.503818531463527,0.486779830389371,0.52064895625141,"veggie_diet","unadjusted"
"Agree",0.303592518418998,0.282244036608934,0.32571668309641,"fewer_children","unadjusted"
"Disagree",0.410132909144988,0.393302676945388,0.426622096432499,"fewer_children","unadjusted"
"Agree",0.72344303478846,0.703424116775684,0.742795855455,"talk_climate","adjusted"
"Disagree",0.807620823872354,0.793084296433986,0.82166255407319,"talk_climate","adjusted"
"Agree",0.247298784346933,0.226088745208732,0.269398044640677,"donate_money","adjusted"
"Disagree",0.350449414710788,0.33483993466774,0.366192523643134,"donate_money","adjusted"
"Agree",0.382829265074561,0.359070115185161,0.406551016200061,"signed_petitions","adjusted"
"Disagree",0.527866371773807,0.511686597167438,0.543880645033358,"signed_petitions","adjusted"
"Agree",0.254852160355054,0.234262138028783,0.276025921540533,"advocated_change","adjusted"
"Disagree",0.341062968799878,0.325577905258232,0.356125058128915,"advocated_change","adjusted"
"Agree",0.172700505328338,0.156720786589812,0.189023655153693,"engaged_policymakers","adjusted"
"Disagree",0.221882667991138,0.209500245135203,0.234531408084076,"engaged_policymakers","adjusted"
"Agree",0.0836696616564881,0.0709172679768447,0.0976906413699659,"engaged_disobedience","adjusted"
"Disagree",0.116914904957888,0.106727418874712,0.127237737245188,"engaged_disobedience","adjusted"
"Agree",0.154862723566777,0.136938672880496,0.173792166360636,"engaged_protest","adjusted"
"Disagree",0.289548186128838,0.275925930327323,0.303048545226717,"engaged_protest","adjusted"
"Agree",0.242936244003815,0.22478055512281,0.261756725258667,"engaged_advocacy","adjusted"
"Disagree",0.338584913845791,0.324174800739009,0.353130603354951,"engaged_advocacy","adjusted"
"Agree",0.132206775903394,0.116566283051182,0.148594096190212,"wrote_letters","adjusted"
"Disagree",0.192704917649848,0.180168433828506,0.205627548065354,"wrote_letters","adjusted"
"Agree",0.419444960310916,0.396977978738807,0.442646569997378,"reduced_flying","adjusted"
"Disagree",0.58274493029645,0.565964367210673,0.599038060051454,"reduced_flying","adjusted"
"Agree",0.599978116056906,0.577922093894452,0.62220750624825,"reduced_car","adjusted"
"Disagree",0.7485766499089,0.733111352824641,0.763551483172444,"reduced_car","adjusted"
"Agree",0.190085184262011,0.170543971325957,0.210795327057845,"electric_vehicle","adjusted"
"Disagree",0.210774345893839,0.196890667089635,0.224668709771827,"electric_vehicle","adjusted"
"Agree",0.462503086272693,0.438564753059444,0.485827683150645,"energy_home","adjusted"
"Disagree",0.472789566959415,0.455634946005137,0.490190676832474,"energy_home","adjusted"
"Agree",0.297501796934306,0.27514439731303,0.320172183094097,"veggie_diet","adjusted"
"Disagree",0.452504943400533,0.436511851658368,0.468837735079662,"veggie_diet","adjusted"
"Agree",0.317776293314181,0.29587326180267,0.340484545709413,"fewer_children","adjusted"
"Disagree",0.399768462921374,0.383207492744823,0.416909174102504,"fewer_children","adjusted"
