"combined","estimate","ci_lo","ci_hi","behavior","class"
"Agree",0.725374695540437,0.7064204543711,0.744597682824316,"talk_climate","sensitivity"
"Disagree",0.802027508699209,0.788059757400242,0.816642424169676,"talk_climate","sensitivity"
"Agree",0.251623329000598,0.230695519394726,0.272696901266404,"donate_money","sensitivity"
"Disagree",0.355050720813855,0.339095135345976,0.370742549330098,"donate_money","sensitivity"
"Agree",0.38699592900263,0.364627648497848,0.409117167265607,"signed_petitions","sensitivity"
"Disagree",0.53043626099757,0.514171862135672,0.546489807553924,"signed_petitions","sensitivity"
"Agree",0.254656085556957,0.234141036297076,0.275335782195095,"advocated_change","sensitivity"
"Disagree",0.346336245284634,0.331353353900761,0.361243916516521,"advocated_change","sensitivity"
"Agree",0.168970568510868,0.151233166874993,0.186972747153984,"engaged_policymakers","sensitivity"
"Disagree",0.225422441424308,0.212725923058618,0.238029429233215,"engaged_policymakers","sensitivity"
"Agree",0.0827306937108171,0.0691511306821178,0.0962082094112051,"engaged_disobedience","sensitivity"
"Disagree",0.122955909436033,0.11282057058719,0.1328321404209,"engaged_disobedience","sensitivity"
"Agree",0.160110171905352,0.141095833210379,0.179379183667702,"engaged_protest","sensitivity"
"Disagree",0.307449526325575,0.293924888133501,0.321456305224643,"engaged_protest","sensitivity"
"Agree",0.238725336249096,0.219827491751437,0.258000915776243,"engaged_advocacy","sensitivity"
"Disagree",0.342788841224585,0.32838848659628,0.357166344347628,"engaged_advocacy","sensitivity"
"Agree",0.131245968357074,0.11456504229063,0.148482476374,"wrote_letters","sensitivity"
"Disagree",0.19785086924907,0.185843880887322,0.209890386847891,"wrote_letters","sensitivity"
"Agree",0.419328950364209,0.396292804306534,0.442292473150231,"reduced_flying","sensitivity"
"Disagree",0.581966759313432,0.565308561756494,0.599022692045115,"reduced_flying","sensitivity"
"Agree",0.597081269884972,0.575876655640197,0.617876354616843,"reduced_car","sensitivity"
"Disagree",0.743902575378747,0.728339200871395,0.759732066617824,"reduced_car","sensitivity"
"Agree",0.189657744270447,0.170482689602216,0.208332905204792,"electric_vehicle","sensitivity"
"Disagree",0.211620932815709,0.197339333713615,0.22596630377218,"electric_vehicle","sensitivity"
"Agree",0.461997563789509,0.438939333607414,0.485575584355735,"energy_home","sensitivity"
"Disagree",0.473345522956697,0.456350571271103,0.490543570797315,"energy_home","sensitivity"
"Agree",0.302187315989713,0.280329416572851,0.32461905694187,"veggie_diet","sensitivity"
"Disagree",0.456856723949488,0.440292996183252,0.472981986155352,"veggie_diet","sensitivity"
"Agree",0.319564132212933,0.296182570975911,0.343038853244267,"fewer_children","sensitivity"
"Disagree",0.400021018829951,0.38379406447493,0.416977848244331,"fewer_children","sensitivity"
