"group","ci_lo","ci_hi","estimate","behavior","class"
"group",-0.0566939244280192,-0.0355297961487512,-0.0460710882866298,"talk_climate","unadjusted"
"group",-0.0710508624912221,-0.0498954328561295,-0.0607896332752001,"donate_money","unadjusted"
"group",-0.114862868844384,-0.0921471079184155,-0.103629343735594,"signed_petitions","unadjusted"
"group",-0.0735455297648444,-0.0514444995514748,-0.0626543243451603,"advocated_change","unadjusted"
"group",-0.0424711072315646,-0.0229130633592349,-0.0329329124412183,"engaged_policymakers","unadjusted"
"group",-0.0316934408531682,-0.0159567311113086,-0.024042905074216,"engaged_disobedience","unadjusted"
"group",-0.0953799126165604,-0.0769798127818963,-0.0862406768036592,"engaged_protest","unadjusted"
"group",-0.0625813431557362,-0.0405315335506772,-0.0517406300912756,"engaged_advocacy","unadjusted"
"group",-0.0438175335276109,-0.0252289701360725,-0.0345904107632666,"wrote_letters","unadjusted"
"group",-0.084470996541384,-0.0607000478704681,-0.0726393315424843,"reduced_flying","unadjusted"
"group",-0.0843648642511906,-0.0601366455703692,-0.0723692978703009,"reduced_car","unadjusted"
"group",-0.0255028026046807,-0.00536205706524951,-0.015732748855797,"electric_vehicle","unadjusted"
"group",-0.0273561150525224,-0.00210708338635805,-0.0147286793501438,"energy_home","unadjusted"
"group",-0.0915894634061644,-0.0691264422704765,-0.0803666572287067,"veggie_diet","unadjusted"
"group",-0.0460161914165246,-0.0223700439340326,-0.0342821486543278,"fewer_children","unadjusted"
"group",-0.0418389584938655,-0.0201145619231385,-0.0309089442301248,"talk_climate","adjusted"
"group",-0.042236928830638,-0.01943229909217,-0.030944314615358,"donate_money","adjusted"
"group",-0.0671083855988568,-0.0423304254525461,-0.0544681469482973,"signed_petitions","adjusted"
"group",-0.0466332114990724,-0.0247133662428278,-0.0357622281660566,"advocated_change","adjusted"
"group",-0.0311000297673436,-0.0135916325887988,-0.0224507170334185,"engaged_policymakers","adjusted"
"group",-0.018960728407986,-0.00403818224195715,-0.0117132454478606,"engaged_disobedience","adjusted"
"group",-0.0555906637688882,-0.0356983246107287,-0.0458560970856474,"engaged_protest","adjusted"
"group",-0.0440887625773594,-0.0242734623627213,-0.0341909429052466,"engaged_advocacy","adjusted"
"group",-0.0293512246196589,-0.0111864841588827,-0.0203103827886963,"wrote_letters","adjusted"
"group",-0.0647145308184334,-0.0400741302324281,-0.0527311886990832,"reduced_flying","adjusted"
"group",-0.0593908327908344,-0.0358023117733063,-0.0475194158615345,"reduced_car","adjusted"
"group",-0.0157706203686668,0.00574725836854382,-0.0050898546512947,"electric_vehicle","adjusted"
"group",-0.0134344029865241,0.0124588226730784,-0.000705170261508576,"energy_home","adjusted"
"group",-0.0591608789822762,-0.0354917570140822,-0.047382901438575,"veggie_diet","adjusted"
"group",-0.0373758297955021,-0.0128728143481806,-0.0250933880023216,"fewer_children","adjusted"
