"combined","estimate","ci_lo","ci_hi","behavior","class"
"Agree",0.705510393594674,0.68381200355353,0.727027750971483,"talk_climate","unadjusted"
"Disagree",0.837323388895159,0.82474499410326,0.848828633507098,"talk_climate","unadjusted"
"Agree",0.201318674468704,0.184171017849571,0.219324369035973,"donate_money","unadjusted"
"Disagree",0.395544400385051,0.378645747249885,0.412715493544791,"donate_money","unadjusted"
"Agree",0.304141117942684,0.283614099572404,0.325531051476404,"signed_petitions","unadjusted"
"Disagree",0.602412203628588,0.586111827943059,0.618518769158072,"signed_petitions","unadjusted"
"Agree",0.223739881697359,0.205066424060567,0.243101185440534,"advocated_change","unadjusted"
"Disagree",0.389192462571067,0.37230139827682,0.40587939495677,"advocated_change","unadjusted"
"Agree",0.171290285436103,0.154066359692058,0.189414394200337,"engaged_policymakers","unadjusted"
"Disagree",0.251115201853998,0.236442775327912,0.266057530583761,"engaged_policymakers","unadjusted"
"Agree",0.0760856213541363,0.0637848222051675,0.0894874392135058,"engaged_disobedience","unadjusted"
"Disagree",0.142213396449359,0.130099685878584,0.154911577072006,"engaged_disobedience","unadjusted"
"Agree",0.110562489841531,0.0969854145812204,0.125255599544286,"engaged_protest","unadjusted"
"Disagree",0.363807082109752,0.347480078967811,0.380510584123801,"engaged_protest","unadjusted"
"Agree",0.231045225452292,0.211903655190692,0.250779779357901,"engaged_advocacy","unadjusted"
"Disagree",0.379248933224139,0.362636298534955,0.396018126641678,"engaged_advocacy","unadjusted"
"Agree",0.122120783171002,0.107190816714431,0.138322996034216,"wrote_letters","unadjusted"
"Disagree",0.221072682522174,0.206563083994538,0.235883576994154,"wrote_letters","unadjusted"
"Agree",0.389833493609296,0.367045615768833,0.412738778672154,"reduced_flying","unadjusted"
"Disagree",0.61314017664634,0.596865760349763,0.629419677394816,"reduced_flying","unadjusted"
"Agree",0.554101024856056,0.531479278289645,0.57775117961323,"reduced_car","unadjusted"
"Disagree",0.779846140260949,0.765731688555655,0.793448129947719,"reduced_car","unadjusted"
"Agree",0.1730071636387,0.155498333682215,0.190940779520976,"electric_vehicle","unadjusted"
"Disagree",0.225041969903419,0.210915835821828,0.239426507191178,"electric_vehicle","unadjusted"
"Agree",0.438378983047019,0.415512996380983,0.461672685566989,"energy_home","unadjusted"
"Disagree",0.493190236550525,0.476167131857954,0.510157587033196,"energy_home","unadjusted"
"Agree",0.24910918604453,0.229773932221236,0.268924730183,"veggie_diet","unadjusted"
"Disagree",0.503773983302089,0.486671367107528,0.520739454145811,"veggie_diet","unadjusted"
"Agree",0.303973822194598,0.284043804937537,0.32556711452755,"fewer_children","unadjusted"
"Disagree",0.410115013913465,0.393450008865428,0.427149549484907,"fewer_children","unadjusted"
"Agree",0.739089318752885,0.719555786231526,0.758665558328681,"talk_climate","adjusted"
"Disagree",0.798455642061275,0.784267872912044,0.812486609516511,"talk_climate","adjusted"
"Agree",0.259741072724255,0.23886425252265,0.281855399734935,"donate_money","adjusted"
"Disagree",0.3402307811126,0.325419636507853,0.354859963856876,"donate_money","adjusted"
"Agree",0.399997342227675,0.37713907478507,0.423138401911232,"signed_petitions","adjusted"
"Disagree",0.514689314470613,0.498847831118728,0.531031418762474,"signed_petitions","adjusted"
"Agree",0.265882505762615,0.245276567226118,0.286660324230678,"advocated_change","adjusted"
"Disagree",0.331378006230486,0.316838020218415,0.346278323608491,"advocated_change","adjusted"
"Agree",0.176041919099772,0.160403572821847,0.192484108207125,"engaged_policymakers","adjusted"
"Disagree",0.218853718014587,0.206659791690258,0.23136146741958,"engaged_policymakers","adjusted"
"Agree",0.0873904654543071,0.0739623006479509,0.101811320322688,"engaged_disobedience","adjusted"
"Disagree",0.113173855300608,0.10365427266651,0.12356466146742,"engaged_disobedience","adjusted"
"Agree",0.162852203374198,0.144312404769106,0.181979460805489,"engaged_protest","adjusted"
"Disagree",0.282117336404159,0.269194437197428,0.295828312412437,"engaged_protest","adjusted"
"Agree",0.248271566916521,0.229978166086516,0.267699320882972,"engaged_advocacy","adjusted"
"Disagree",0.333932323595678,0.319473031132834,0.34883480100672,"engaged_advocacy","adjusted"
"Agree",0.136930896440086,0.120923585639091,0.153732819961447,"wrote_letters","adjusted"
"Disagree",0.18828808808115,0.176210356967362,0.200835979283319,"wrote_letters","adjusted"
"Agree",0.432327517413522,0.409227665791494,0.455351751282121,"reduced_flying","adjusted"
"Disagree",0.573285758416776,0.556612773071993,0.590458350283778,"reduced_flying","adjusted"
"Agree",0.608139354469303,0.584635486648534,0.630526727859892,"reduced_car","adjusted"
"Disagree",0.744521145617919,0.728856613119091,0.759972264903644,"reduced_car","adjusted"
"Agree",0.194035955539393,0.174283091269109,0.214926932919671,"electric_vehicle","adjusted"
"Disagree",0.208169987919222,0.194575326782418,0.221732329575933,"electric_vehicle","adjusted"
"Agree",0.46934784718936,0.445615495372399,0.492259136417738,"energy_home","adjusted"
"Disagree",0.468694101085402,0.451260315949991,0.485806413402467,"energy_home","adjusted"
"Agree",0.306912070821111,0.284520071850237,0.330746014448778,"veggie_diet","adjusted"
"Disagree",0.444924676296538,0.428739810869452,0.461270287780482,"veggie_diet","adjusted"
"Agree",0.322324679999978,0.299761450697973,0.345886438527668,"fewer_children","adjusted"
"Disagree",0.39615060907631,0.378871673007014,0.41309003817809,"fewer_children","adjusted"
